id,Date,Sport,Séance,Exercice,Durée,poid,Nbr_de_repetitions,Commentaire
257,2024-08-04,Musculation,Abdos Jambes,Rotary Torso,,54.0,15.0,
258,2024-08-04,Musculation,Abdos Jambes,Rotary Torso,,54.0,15.0,
259,2024-08-04,Musculation,Abdos Jambes,Machine Abdominaux,,32.0,10.0,
260,2024-08-04,Musculation,Abdos Jambes,Machine Abdominaux,,32.0,10.0,
261,2024-08-04,Musculation,Abdos Jambes,Machine Abdominaux,,32.0,10.0,
262,2024-08-04,Musculation,Abdos Jambes,Machine Abdominaux,,32.0,10.0,
263,2024-08-04,Musculation,Abdos Jambes,Lower Back Bench,,10.0,10.0,
264,2024-08-04,Musculation,Abdos Jambes,Lower Back Bench,,10.0,10.0,
265,2024-08-04,Musculation,Abdos Jambes,Lower Back Bench,,10.0,10.0,
266,2024-08-04,Musculation,Abdos Jambes,Lower Back Bench,,10.0,10.0,
267,2024-12-04,Musculation,Dos,Seated Row,,52.0,12.0,
268,2024-12-04,Musculation,Dos,Seated Row,,52.0,12.0,
269,2024-12-04,Musculation,Dos,Seated Row,,52.0,12.0,
270,2024-12-04,Musculation,Dos,Rear Delt,,59.0,10.0,
271,2024-12-04,Musculation,Dos,Rear Delt,,59.0,10.0,
272,2024-12-04,Musculation,Dos,Rear Delt,,59.0,10.0,
273,2024-12-04,Musculation,Dos,Rear Delt,,52.0,10.0,
274,2024-12-04,Musculation,Dos,Abdos Inclinés,,15.0,15.0,
275,2024-12-04,Musculation,Dos,Abdos Inclinés,,15.0,15.0,
276,2024-12-04,Musculation,Dos,Abdos Inclinés,,15.0,15.0,
277,2024-12-04,Musculation,Dos,Abdos Inclinés,,15.0,15.0,
278,2024-12-04,Musculation,Dos,Abdos Inclinés,,15.0,15.0,
279,2024-12-04,Musculation,Dos,Lat Pull prise poignée,,52.0,10.0,
280,2024-12-04,Musculation,Abdos,Machine Abdominaux,,52.0,10.0,
281,2024-04-15,Musculation,Jambes,Mollets sur Leg Press,,59.0,15.0,
282,2024-04-15,Musculation,Jambes,Mollets sur Leg Press,,66.0,15.0,
283,2024-04-15,Musculation,Jambes,Mollets sur Leg Press,,66.0,15.0,
284,2024-04-15,Musculation,Jambes,Mollets sur Leg Press,,66.0,15.0,
285,2024-04-15,Musculation,Jambes,Mollets sur Leg Press,,73.0,15.0,
286,2024-04-15,Musculation,Abdos,Rotary Torso,,59.0,12.0,
287,2024-04-15,Musculation,Abdos,Rotary Torso,,59.0,12.0,
288,2024-04-15,Musculation,Abdos,Rotary Torso,,59.0,12.0,
289,2024-04-15,Musculation,Abdos,Rotary Torso,,59.0,12.0,
290,2024-04-15,Musculation,Abdos,Rotary Torso,,59.0,12.0,
291,2024-04-15,Musculation,,Abdos Inclinés,,15.0,15.0,
292,2024-04-15,Musculation,,Abdos Inclinés,,15.0,15.0,
293,2024-04-15,Musculation,,Lower back bench,,10.0,10.0,
294,2024-04-15,Musculation,,Lower Back Bench,,10.0,10.0,
295,2024-04-15,Musculation,,Lower Back Bench,,10.0,10.0,
296,2024-04-16,Musculation,Pectoraux,Pec Fly,,59.0,12.0,
297,2024-04-16,Musculation,Pectoraux,Pec Fly,,59.0,12.0,
298,2024-04-16,Musculation,Pectoraux,Pec Fly,,59.0,12.0,
299,2024-04-16,Musculation,Pectoraux,Pec Fly,,59.0,12.0,
300,2024-04-16,Musculation,Pectoraux,Pec Fly,,59.0,12.0,
301,2024-04-16,Musculation,Pectoraux,chest press,,25.0,12.0,
302,2024-04-16,Musculation,Pectoraux,Chest Press,,27.3,12.0,
303,2024-04-16,Musculation,Pectoraux,Chest Press,,32.0,12.0,
304,2024-04-16,Musculation,Pectoraux,Chest Press,,32.0,12.0,
305,2024-04-16,Musculation,Pectoraux,Chest Press,,32.0,12.0,
308,2024-04-16,Musculation,Pectoraux,Back Extension,,73.0,12.0,
309,2024-04-16,Musculation,Pectoraux,Back Extension,,73.0,12.0,
310,2024-04-16,Musculation,Pectoraux,Back Extension,,73.0,12.0,
311,2024-04-16,Musculation,Pectoraux,Back Extension,,73.0,12.0,
312,2024-04-16,Musculation,Pectoraux,Back Extension,,73.0,12.0,
313,2024-04-19,Cardio,,Course sur Tapis,7.2,,,Intensité 8
314,2024-04-19,Musculation,Dos,Diverging Seated Row prise verticale,,36.0,10.0,
315,2024-04-19,Musculation,Dos,Diverging Seated Row Prise Verticale,,36.0,12.0,
316,2024-04-19,Musculation,Dos,Diverging Seated Row Prise Verticale,,36.0,12.0,
317,2024-04-19,Musculation,Dos,Diverging Seated Row Prise Verticale,,36.0,12.0,
318,2024-04-19,Musculation,Dos,Biceps Curls à la Poulie,,18.0,12.0,
319,2024-04-19,Musculation,Dos,Biceps Curls à la Poulie,,23.0,12.0,
320,2024-04-19,Musculation,Dos,Biceps Curls à la Poulie,,23.0,13.0,
321,2024-04-19,Musculation,Dos,Biceps Curls à la Poulie,,23.0,10.0,
322,2024-04-19,Musculation,Dos,Biceps Curls à la Poulie,,23.0,11.0,
323,2024-04-19,Musculation,Dos,Rear Delt,,52.0,10.0,
324,2024-04-20,Musculation,Mobilités Jambes,Rotary Torso,,59.0,15.0,
